id	family	gfm	markdown	base_raw_h2	base_raw_refused	base_raw_dir	base_reader_h2	base_reader_refused	base_reader_dir	base_shipped	base_gate_reader_same	head_raw_h2	head_raw_refused	head_raw_dir	head_reader_h2	head_reader_refused	head_reader_dir	head_shipped	head_gate_reader_same
R226-T-name-later-style-pre	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-style-pRe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-style-pRe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-style-script	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-style-sCrIpT	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-style-sCrIpT	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-style-style	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-style-sTyLe	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-style-sTyLe	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-style-textarea	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-style-tExTaReA	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-style-tExTaReA	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-textarea-pre	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-textarea-pRe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-textarea-pRe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-textarea-script	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-textarea-sCrIpT	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-textarea-sCrIpT	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-textarea-style	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
